osm_id,highway,eligibility,x,y
4043478,residential,fallback (untagged residential <500m),524611.9203193935,184900.93272618635
4043478,residential,fallback (untagged residential <500m),524630.3983456991,184915.47345912078
4044049,residential,fallback (untagged residential <500m),524521.5843377692,185393.53967120196
4044050,residential,fallback (untagged residential <500m),524596.7841949592,185419.75512660184
4049402,residential,fallback (untagged residential <500m),525497.8989571045,185016.34143036447
4049402,residential,fallback (untagged residential <500m),525473.2055028362,185015.6419157792
4049402,residential,fallback (untagged residential <500m),525451.5503827073,185012.42495637306
4049402,residential,fallback (untagged residential <500m),525371.810573146,185009.98736732086
4049402,residential,fallback (untagged residential <500m),525351.7413207613,184998.45341453532
4049402,residential,fallback (untagged residential <500m),525280.785286352,184915.01616559696
4049403,residential,fallback (untagged residential <500m),524831.997330181,185126.2480942225
4049403,residential,fallback (untagged residential <500m),524842.1647495583,185098.42412772897
4049403,residential,fallback (untagged residential <500m),524851.8862953632,185072.09138901776
4049404,residential,fallback (untagged residential <500m),524959.9398708589,185165.927247461
4049405,residential,fallback (untagged residential <500m),524659.2987722753,185392.26177069225
4049405,residential,fallback (untagged residential <500m),524685.2338810129,185323.9878970805
4049405,residential,fallback (untagged residential <500m),524739.5192195396,185184.1554901748
4049405,residential,fallback (untagged residential <500m),524743.8129156742,185173.0954529472
4049405,residential,fallback (untagged residential <500m),524746.059999207,185167.75397094345
4049405,residential,fallback (untagged residential <500m),524746.178474459,185164.06263926585
4049405,residential,fallback (untagged residential <500m),524745.2237946519,185159.72180587827
4059325,residential,fallback (untagged residential <500m),529663.8635077473,182461.80636387173
4059325,residential,fallback (untagged residential <500m),529665.9373430253,182458.87709667435
4059325,residential,fallback (untagged residential <500m),529666.858732933,182457.58755638154
4059325,residential,fallback (untagged residential <500m),529680.215246863,182439.03380531422
4059325,residential,fallback (untagged residential <500m),529717.8227163603,182386.30320295464
4059325,residential,fallback (untagged residential <500m),529730.8506011975,182367.58539322054
4059325,residential,fallback (untagged residential <500m),529736.1473344571,182362.40165737353
4059325,residential,fallback (untagged residential <500m),529747.2988925242,182346.76283045008
4059325,residential,fallback (untagged residential <500m),529753.4466170287,182336.52664653544
4059326,residential,fallback (untagged residential <500m),529723.7743513915,182500.3464905045
4059326,residential,fallback (untagged residential <500m),529727.3928526831,182495.09763699048
4059327,residential,fallback (untagged residential <500m),529762.6570104305,182335.4711047539
4066410,residential,fallback (untagged residential <500m),524808.6335454469,185183.77998891444
4066410,residential,fallback (untagged residential <500m),524849.10887158,185196.28104979283
4066410,residential,fallback (untagged residential <500m),525070.359393424,185271.40737252828
4066410,residential,fallback (untagged residential <500m),525092.9652287796,185289.7681381714
4066410,residential,fallback (untagged residential <500m),525134.3881908144,185333.55141525902
4066410,residential,fallback (untagged residential <500m),525149.4705684099,185350.92579472484
4066410,residential,fallback (untagged residential <500m),525169.2396206167,185373.74577849853
4066413,residential,fallback (untagged residential <500m),525085.0563598962,185418.89484921523
4066413,residential,fallback (untagged residential <500m),525110.210415425,185447.06555453636
4066413,residential,fallback (untagged residential <500m),525117.205846523,185453.1243436134
4066413,residential,fallback (untagged residential <500m),525123.7201806849,185457.31302599196
4066417,residential,fallback (untagged residential <500m),525105.9402140277,185847.60915179894
4066417,residential,fallback (untagged residential <500m),525086.9109057831,185821.58065658127
4066417,residential,fallback (untagged residential <500m),525065.3073840771,185821.47099534143
4066417,residential,fallback (untagged residential <500m),525001.9453043418,185851.60021562193
4066417,residential,fallback (untagged residential <500m),524965.2604805329,185869.04551652668
4068454,residential,fallback (untagged residential <500m),529482.3242207302,181647.6871830026
4068455,residential,fallback (untagged residential <500m),529185.8031125976,182227.39714211493
4068455,residential,fallback (untagged residential <500m),529189.3048528659,182222.35637776484
4081006,residential,fallback (untagged residential <500m),529440.4878794781,184529.0748691446
4081006,residential,fallback (untagged residential <500m),529446.1285816461,184524.4560701755
4081006,residential,fallback (untagged residential <500m),529449.5984771425,184521.70700300368
4081006,residential,fallback (untagged residential <500m),529467.4059884159,184506.87174502417
4081006,residential,fallback (untagged residential <500m),529488.1194699503,184489.6403313834
4081006,residential,fallback (untagged residential <500m),529511.9019900651,184470.15048747422
4132926,residential,fallback (untagged residential <500m),527426.424876518,185785.14131835388
4132926,residential,fallback (untagged residential <500m),527449.6622294056,185828.76604145084
4132926,residential,fallback (untagged residential <500m),527489.4573688011,185894.70579075132
4132926,residential,fallback (untagged residential <500m),527517.0535444667,185967.70571863325
4132926,residential,fallback (untagged residential <500m),527526.459909719,185997.75269770296
4132935,residential,fallback (untagged residential <500m),527539.1217545655,185959.8145928579
4132935,residential,fallback (untagged residential <500m),527548.2707393317,185952.9118357674
4132935,residential,fallback (untagged residential <500m),527577.6133729644,185918.6089989064
4132935,residential,fallback (untagged residential <500m),527641.697093486,185803.3706654961
4132935,residential,fallback (untagged residential <500m),527643.4960204473,185797.48495471285
4132949,residential,fallback (untagged residential <500m),527430.1919847012,185784.01189498976
4132949,residential,fallback (untagged residential <500m),527514.194854143,185787.780117527
4132949,residential,fallback (untagged residential <500m),527601.6256464513,185789.28803069878
4132949,residential,fallback (untagged residential <500m),527644.2857964488,185793.38764319976
4132949,residential,fallback (untagged residential <500m),527683.4483406085,185796.99901643646
4132949,residential,fallback (untagged residential <500m),527691.2879715691,185798.32016703236
4210577,residential,fallback (untagged residential <500m),525991.4694065298,184943.15570462495
4210577,residential,fallback (untagged residential <500m),526010.4038672916,184903.38924984145
4210577,residential,fallback (untagged residential <500m),526039.2198778483,184912.1497786814
4210577,residential,fallback (untagged residential <500m),526072.7935104403,184922.36392505298
4210577,residential,fallback (untagged residential <500m),526086.412320357,184928.48843124695
4210577,residential,fallback (untagged residential <500m),526128.4622234567,184947.40369249153
4210577,residential,fallback (untagged residential <500m),526154.5810515846,184959.15789662785
4210577,residential,fallback (untagged residential <500m),526159.8710668155,184962.63871519046
4210577,residential,fallback (untagged residential <500m),526163.7521453806,184964.74923514517
4210578,residential,fallback (untagged residential <500m),526134.3017494582,185015.3144160229
4210578,residential,fallback (untagged residential <500m),526126.6413384435,185007.0010822229
4210582,residential,fallback (untagged residential <500m),525064.4232490531,185057.3727518671
4210583,residential,fallback (untagged residential <500m),525247.9935568977,184997.32769163372
4210583,residential,fallback (untagged residential <500m),525226.9704001828,185015.4471596456
4210583,residential,fallback (untagged residential <500m),525222.1592505319,185022.0604647898
4210584,residential,fallback (untagged residential <500m),525493.6448123775,185098.3334904019
4210584,residential,fallback (untagged residential <500m),525387.7705096918,185087.32684808044
4210584,residential,fallback (untagged residential <500m),525364.148042902,185086.25372610876
4210584,residential,fallback (untagged residential <500m),525341.89121942,185088.02964363067
4213537,residential,fallback (untagged residential <500m),525315.8716338117,185057.8887099771
4213537,residential,fallback (untagged residential <500m),525284.476603131,185035.0037531241
4213537,residential,fallback (untagged residential <500m),525211.4217466494,184953.38507010008
4213537,residential,fallback (untagged residential <500m),525202.4939435523,184941.54796715372
4213537,residential,fallback (untagged residential <500m),525198.0027603765,184933.78162172763
4213537,residential,fallback (untagged residential <500m),525194.508420585,184925.53914052364
4213540,residential,fallback (untagged residential <500m),525282.8460676986,185105.27682004962
4213540,residential,fallback (untagged residential <500m),525310.6581569727,185068.43106110144
4214969,residential,fallback (untagged residential <500m),525015.7726275979,185888.6163656615
4214969,residential,fallback (untagged residential <500m),525017.6418284541,185903.96242488484
4214970,residential,fallback (untagged residential <500m),525196.5909025281,185249.19399716397
4252413,residential,fallback (untagged residential <500m),529416.6063901528,185020.7865369324
4252413,residential,fallback (untagged residential <500m),529433.1767424688,185019.57331007725
4252413,residential,fallback (untagged residential <500m),529449.1609364151,185017.67752792593
4252413,residential,fallback (untagged residential <500m),529456.2741488016,185016.77956856007
4252413,residential,fallback (untagged residential <500m),529460.8455681684,185015.98370050255
4252413,residential,fallback (untagged residential <500m),529465.6291137468,185014.75926868472
4252413,residential,fallback (untagged residential <500m),529470.7068503597,185013.15287764592
4252413,residential,fallback (untagged residential <500m),529475.4772948846,185011.0824186614
4252413,residential,fallback (untagged residential <500m),529482.4027729422,185007.7538766169
4252413,residential,fallback (untagged residential <500m),529487.3894856601,185004.82098818454
4252413,residential,fallback (untagged residential <500m),529492.472453354,185001.37868780387
4252413,residential,fallback (untagged residential <500m),529496.976727749,184997.77696803008
4252413,residential,fallback (untagged residential <500m),529501.6276536065,184993.32216388837
4252413,residential,fallback (untagged residential <500m),529505.0437114333,184989.68155787262
4252413,residential,fallback (untagged residential <500m),529508.2771172283,184985.85825087555
4252413,residential,fallback (untagged residential <500m),529511.3452655108,184981.9862183403
4252413,residential,fallback (untagged residential <500m),529514.5128291094,184976.9371921516
4252413,residential,fallback (untagged residential <500m),529520.7815564503,184965.63566317403
4252413,residential,fallback (untagged residential <500m),529524.2895837472,184956.489223128
4252413,residential,fallback (untagged residential <500m),529526.7001021318,184948.48318204697
4252413,residential,fallback (untagged residential <500m),529528.0954474894,184939.75019254483
4252413,residential,fallback (untagged residential <500m),529528.9512910254,184928.7779031769
4252413,residential,fallback (untagged residential <500m),529528.8798046422,184927.22933389532
4252413,residential,fallback (untagged residential <500m),529528.5758962955,184920.92332181562
4252413,residential,fallback (untagged residential <500m),529527.8528599695,184912.8261882427
4252413,residential,fallback (untagged residential <500m),529526.5524449935,184903.7017038025
4252413,residential,fallback (untagged residential <500m),529525.098171868,184899.246911388
4252413,residential,fallback (untagged residential <500m),529523.2819815287,184894.29326703656
4252413,residential,fallback (untagged residential <500m),529522.0134079612,184890.989363519
4252413,residential,fallback (untagged residential <500m),529520.5521554111,184887.0796500765
4252413,residential,fallback (untagged residential <500m),529518.786684064,184883.1287914206
4252413,residential,fallback (untagged residential <500m),529516.5950302266,184879.02239920804
4252413,residential,fallback (untagged residential <500m),529513.7888937022,184874.25492469582
4252413,residential,fallback (untagged residential <500m),529508.5039575543,184867.93309877568
4252413,residential,fallback (untagged residential <500m),529502.7607130867,184861.35477732756
4252413,residential,fallback (untagged residential <500m),529498.3200288818,184857.83641770697
4252413,residential,fallback (untagged residential <500m),529492.7894116346,184853.80063919252
4252413,residential,fallback (untagged residential <500m),529488.3005546174,184851.08225124964
4252413,residential,fallback (untagged residential <500m),529482.709565569,184848.32462471642
4252413,residential,fallback (untagged residential <500m),529475.6657082625,184844.86228496744
4252413,residential,fallback (untagged residential <500m),529468.3864833325,184842.195143072
4252413,residential,fallback (untagged residential <500m),529458.3143769563,184839.13407743163
4252413,residential,fallback (untagged residential <500m),529448.3825401829,184837.64560858876
4252413,residential,fallback (untagged residential <500m),529445.7975103161,184837.53517316404
4252987,residential,fallback (untagged residential <500m),529001.9822458692,185058.8145741541
4252987,residential,fallback (untagged residential <500m),529018.6711641452,185057.29144402046
4252987,residential,fallback (untagged residential <500m),529030.1827858882,185056.66048872046
4252987,residential,fallback (untagged residential <500m),529034.511724162,185056.3922023874
4252988,residential,fallback (untagged residential <500m),529152.2426430662,184860.3578832929
4252988,residential,fallback (untagged residential <500m),529152.6205987493,184864.86306130333
4252988,residential,fallback (untagged residential <500m),529156.2710563152,184908.44271455525
4252988,residential,fallback (untagged residential <500m),529158.8957220371,184945.7091630762
4252988,residential,fallback (untagged residential <500m),529159.3035166094,184950.94952556142
4252988,residential,fallback (untagged residential <500m),529159.6774921933,184955.61039087066
4252989,residential,fallback (untagged residential <500m),529017.611986526,184871.33318164462
4252989,residential,fallback (untagged residential <500m),528995.3556906332,184872.95965635258
4252990,residential,fallback (untagged residential <500m),529038.9134581191,185052.9877816785
4252990,residential,fallback (untagged residential <500m),529038.0131427957,185046.92259481188
4252990,residential,fallback (untagged residential <500m),529022.4360975059,184907.5426597867
4252990,residential,fallback (untagged residential <500m),529021.432942372,184899.51640487666
4252990,residential,fallback (untagged residential <500m),529018.2347057819,184875.76667298807
4253038,residential,fallback (untagged residential <500m),527290.0021035487,185685.74284885416
4253038,residential,fallback (untagged residential <500m),527294.3298741444,185720.05726891145
4253038,residential,fallback (untagged residential <500m),527295.0753798725,185728.2212826226
4253038,residential,fallback (untagged residential <500m),527315.8206668907,185783.3108852296
4253039,residential,fallback (untagged residential <500m),527514.1159045929,185831.49807030463
4253046,residential,fallback (untagged residential <500m),527842.8751330342,185434.95099842025
4253046,residential,fallback (untagged residential <500m),527840.3487199504,185442.16475345532
4253046,residential,fallback (untagged residential <500m),527817.3240557228,185508.02720803808
4253046,residential,fallback (untagged residential <500m),527798.2988888023,185562.46236112766
4253046,residential,fallback (untagged residential <500m),527793.2632777755,185583.37768584955
4253046,residential,fallback (untagged residential <500m),527787.7074994497,185630.18477792345
4253046,residential,fallback (untagged residential <500m),527780.6609949552,185685.23321163864
4253046,residential,fallback (untagged residential <500m),527780.4237008923,185687.21906221932
4253047,residential,fallback (untagged residential <500m),527882.4155407199,185545.0748488729
4253047,residential,fallback (untagged residential <500m),527853.180713364,185623.6663340974
4253048,residential,fallback (untagged residential <500m),527892.4607145622,185707.9901940553
4253048,residential,fallback (untagged residential <500m),527907.9547512924,185670.38020016626
4253048,residential,fallback (untagged residential <500m),527920.2199963324,185640.61165583815
4253048,residential,fallback (untagged residential <500m),527951.5864788757,185565.27899122128
4253049,residential,fallback (untagged residential <500m),528021.4371275507,185581.61773580784
4253049,residential,fallback (untagged residential <500m),528032.6784041901,185557.27609390987
4253080,residential,fallback (untagged residential <500m),527663.1672467329,185601.46801822406
4253081,residential,fallback (untagged residential <500m),527725.0056347301,185474.23425589968
4253081,residential,fallback (untagged residential <500m),527724.4166958036,185479.9946108965
4253081,residential,fallback (untagged residential <500m),527722.7985877864,185495.77720517613
4253081,residential,fallback (untagged residential <500m),527722.7390381859,185540.86437811097
4253081,residential,fallback (untagged residential <500m),527722.6393146288,185622.5489302085
4253345,residential,fallback (untagged residential <500m),529684.1177327126,181914.69971997372
4253380,residential,fallback (untagged residential <500m),529674.8472164015,181705.10816027096
4253380,residential,fallback (untagged residential <500m),529680.0728538441,181703.00487994432
4253380,residential,fallback (untagged residential <500m),529683.0537034357,181702.3576653349
4253380,residential,fallback (untagged residential <500m),529687.6988453026,181702.59863052156
4253380,residential,fallback (untagged residential <500m),529695.4016204374,181703.80785649357
4253380,residential,fallback (untagged residential <500m),529701.2763920644,181707.00678419007
4253380,residential,fallback (untagged residential <500m),529705.0011972234,181709.85038928187
4253380,residential,fallback (untagged residential <500m),529707.8917367138,181713.28471871844
4253380,residential,fallback (untagged residential <500m),529710.430047764,181718.27905181912
4253380,residential,fallback (untagged residential <500m),529711.5914458935,181723.09357591992
4253386,residential,fallback (untagged residential <500m),529722.0834265245,181634.62982684106
4253386,residential,fallback (untagged residential <500m),529736.6856496986,181645.40697033994
4253386,residential,fallback (untagged residential <500m),529755.5998263834,181660.50051181938
4253395,residential,fallback (untagged residential <500m),529766.1052067921,181568.55422389274
4253395,residential,fallback (untagged residential <500m),529725.5705397286,181629.1105373134
4253395,residential,fallback (untagged residential <500m),529724.0069573068,181631.61884153733
4253395,residential,fallback (untagged residential <500m),529723.7778497619,181631.89118263224
4253403,residential,fallback (untagged residential <500m),529943.6900895338,181610.1809983187
4253403,residential,fallback (untagged residential <500m),529919.9261119906,181593.6274198527
4253403,residential,fallback (untagged residential <500m),529905.190972554,181583.16904415475
4253730,residential,fallback (untagged residential <500m),530825.4145731186,182673.22685987112
4253994,residential,fallback (untagged residential <500m),529840.4949613359,182637.27208253695
4253994,residential,fallback (untagged residential <500m),529845.4139638207,182628.39555887086
4253994,residential,fallback (untagged residential <500m),529845.899911938,182627.30634418828
4253994,residential,fallback (untagged residential <500m),529853.9814484043,182613.91495475173
4253995,residential,fallback (untagged residential <500m),529925.6700131764,182569.879956942
4253995,residential,fallback (untagged residential <500m),529945.7744965197,182630.26101406885
4253995,residential,fallback (untagged residential <500m),529949.0035248299,182639.15672528918
4253995,residential,fallback (untagged residential <500m),529988.1674847938,182664.80658810062
4253997,unclassified,primary (parking:lane tag),529681.6220606812,182703.929563955
4253997,unclassified,primary (parking:lane tag),529688.0803638203,182707.877851744
4254075,residential,fallback (untagged residential <500m),530609.2479392419,181918.46855148708
4255520,residential,fallback (untagged residential <500m),527247.4660637854,185593.66446921887
4255520,residential,fallback (untagged residential <500m),527253.4199505743,185596.89607564622
4255520,residential,fallback (untagged residential <500m),527256.3901376128,185598.22796168656
4255520,residential,fallback (untagged residential <500m),527259.9636748986,185599.84203931666
4255520,residential,fallback (untagged residential <500m),527267.3699085509,185601.86380750453
4255520,residential,fallback (untagged residential <500m),527273.1525417278,185602.2425103971
4255520,residential,fallback (untagged residential <500m),527281.2592980643,185601.77818719437
4255520,residential,fallback (untagged residential <500m),527288.0566341751,185603.46201712574
4255520,residential,fallback (untagged residential <500m),527309.2030225629,185611.06955227902
4255520,residential,fallback (untagged residential <500m),527316.4785593359,185611.6637978864
4255520,residential,fallback (untagged residential <500m),527330.1668913444,185611.57326816273
4255520,residential,fallback (untagged residential <500m),527340.8280084359,185613.25397213682
4255520,residential,fallback (untagged residential <500m),527359.0190004644,185623.63619381597
4255520,residential,fallback (untagged residential <500m),527380.2987407286,185635.32003828872
4255529,residential,fallback (untagged residential <500m),526961.3258895766,185668.88517885684
4255529,residential,fallback (untagged residential <500m),526951.6931108108,185669.07815394644
4255531,residential,fallback (untagged residential <500m),526945.6775936453,185672.46619265055
4255531,residential,fallback (untagged residential <500m),527013.2054039785,185756.4211708245
4255531,residential,fallback (untagged residential <500m),527028.0317035791,185774.5850940901
4255540,residential,fallback (untagged residential <500m),526832.6902418877,185677.65269740828
4255540,residential,fallback (untagged residential <500m),526832.6615984235,185669.6402291662
4255540,residential,fallback (untagged residential <500m),526838.1866523429,185645.3536068838
4255540,residential,fallback (untagged residential <500m),526837.3131086346,185642.00467031746
4255540,residential,fallback (untagged residential <500m),526833.1277393317,185636.28070697043
4255541,residential,fallback (untagged residential <500m),526983.5146198991,185863.247151381
4255541,residential,fallback (untagged residential <500m),526926.437392252,185792.19468331046
4255542,residential,fallback (untagged residential <500m),526740.7108407974,185822.65948774817
4255542,residential,fallback (untagged residential <500m),526769.3696927895,185818.02308466448
4255542,residential,fallback (untagged residential <500m),526823.2054369175,185809.3091227847
4255542,residential,fallback (untagged residential <500m),526882.1758859328,185799.70038885012
4255542,residential,fallback (untagged residential <500m),526913.7234896049,185794.94785682647
4255575,residential,fallback (untagged residential <500m),526718.687207233,185758.5273411725
4255575,residential,fallback (untagged residential <500m),526743.0947665676,185754.4300055104
4255575,residential,fallback (untagged residential <500m),526756.5836538986,185752.02958599245
4255575,residential,fallback (untagged residential <500m),526804.3616072215,185744.2656970141
4255575,residential,fallback (untagged residential <500m),526865.4154755461,185734.30821501103
4255575,residential,fallback (untagged residential <500m),526868.8901984757,185733.49376460142
4255575,residential,fallback (untagged residential <500m),526872.0344418618,185732.02566240553
4255576,residential,fallback (untagged residential <500m),526802.5836187275,185682.7310788206
4255576,residential,fallback (untagged residential <500m),526768.2356574856,185687.937356573
4255576,residential,fallback (untagged residential <500m),526761.8216600479,185688.95663813845
4255576,residential,fallback (untagged residential <500m),526734.0829548035,185693.9387876222
4255577,residential,fallback (untagged residential <500m),526674.9163238641,185617.17335117864
4255577,residential,fallback (untagged residential <500m),526676.8397156247,185623.76428615075
4255577,residential,fallback (untagged residential <500m),526680.1111599631,185634.98449819785
4255577,residential,fallback (untagged residential <500m),526690.3999736253,185673.25262248656
4255577,residential,fallback (untagged residential <500m),526699.6957399606,185700.44645138923
4255577,residential,fallback (untagged residential <500m),526704.8959677019,185717.200662745
4255577,residential,fallback (untagged residential <500m),526723.2296945159,185772.44991399604
4255580,residential,fallback (untagged residential <500m),526686.1492843907,185723.20877050568
4255580,residential,fallback (untagged residential <500m),526656.6840657387,185733.45600877464
4255580,residential,fallback (untagged residential <500m),526650.7575895694,185735.78950389294
4255580,residential,fallback (untagged residential <500m),526647.1447831391,185738.2475138128
4255580,residential,fallback (untagged residential <500m),526644.8343862188,185740.77141297143
4255580,residential,fallback (untagged residential <500m),526643.9223111796,185744.52084488078
4255580,residential,fallback (untagged residential <500m),526644.6636429701,185750.11418317968
4255580,residential,fallback (untagged residential <500m),526646.2662635922,185753.7149546838
4255580,residential,fallback (untagged residential <500m),526651.591966537,185757.66457987297
4255580,residential,fallback (untagged residential <500m),526655.0094626272,185758.86261970934
4255580,residential,fallback (untagged residential <500m),526671.591194626,185763.43817440717
4255580,residential,fallback (untagged residential <500m),526701.9027715082,185770.96040146024
4255580,residential,fallback (untagged residential <500m),526715.5536000045,185774.01635728474
4255580,residential,fallback (untagged residential <500m),526717.7286161763,185773.85925025702
4255580,residential,fallback (untagged residential <500m),526720.0242654568,185773.31569675764
4255581,residential,fallback (untagged residential <500m),526606.6936004214,185809.332628552
4255582,residential,fallback (untagged residential <500m),526676.1469450362,185829.62653418985
4255582,residential,fallback (untagged residential <500m),526679.498816124,185835.11813996168
4255582,residential,fallback (untagged residential <500m),526686.6084452239,185864.01551844645
4255582,residential,fallback (untagged residential <500m),526691.7230045468,185883.91664862784
4255594,residential,fallback (untagged residential <500m),527043.0770404044,185545.71397752193
4255594,residential,fallback (untagged residential <500m),527034.3000051217,185560.48293232586
4255594,residential,fallback (untagged residential <500m),527029.5763220773,185565.7392458766
4255594,residential,fallback (untagged residential <500m),527022.2559960831,185571.6427244555
4255594,residential,fallback (untagged residential <500m),527014.6483286866,185575.44706083986
4255594,residential,fallback (untagged residential <500m),527002.618492397,185578.00573472417
4255594,residential,fallback (untagged residential <500m),526993.2534434183,185577.74911307392
4255594,residential,fallback (untagged residential <500m),526986.7873278084,185576.40779497207
4255594,residential,fallback (untagged residential <500m),526977.0110504045,185572.9028266787
4255594,residential,fallback (untagged residential <500m),526971.5860808021,185569.31758091378
4255594,residential,fallback (untagged residential <500m),526964.3977787439,185562.46126562072
